"job_id","job_title","salary_year_avg","job_posted_date","company_name","skills"
99305,"Data Analyst, Marketing","232423.0","2023-12-05","Pinterest Job Advertisements","sql"
99305,"Data Analyst, Marketing","232423.0","2023-12-05","Pinterest Job Advertisements","python"
99305,"Data Analyst, Marketing","232423.0","2023-12-05","Pinterest Job Advertisements","r"
99305,"Data Analyst, Marketing","232423.0","2023-12-05","Pinterest Job Advertisements","hadoop"
99305,"Data Analyst, Marketing","232423.0","2023-12-05","Pinterest Job Advertisements","tableau"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","2023-01-17","Uclahealthcareers","sql"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","2023-01-17","Uclahealthcareers","crystal"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","2023-01-17","Uclahealthcareers","oracle"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","2023-01-17","Uclahealthcareers","tableau"
1021647,"Data Analyst (Hybrid/Remote)","217000.0","2023-01-17","Uclahealthcareers","flow"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","sql"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","python"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","go"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","snowflake"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","pandas"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","numpy"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","excel"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","tableau"
168310,"Principal Data Analyst (Remote)","205000.0","2023-08-09","SmartAsset","gitlab"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","sql"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","python"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","azure"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","aws"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","oracle"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","snowflake"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","tableau"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","power bi"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","sap"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","jenkins"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","bitbucket"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","atlassian"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","jira"
731368,"Director, Data Analyst - HYBRID","189309.0","2023-12-07","Inclusively","confluence"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","sql"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","python"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","r"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","git"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","bitbucket"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","atlassian"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","jira"
310660,"Principal Data Analyst, AV Performance Analysis","189000.0","2023-01-05","Motional","confluence"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","sql"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","python"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","go"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","snowflake"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","pandas"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","numpy"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","excel"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","tableau"
1749593,"Principal Data Analyst","186000.0","2023-07-11","SmartAsset","gitlab"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","sql"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","python"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","html"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","css"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","aws"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","keras"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","angular"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","flask"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","fastapi"
1638595,"Senior Data Analyst","185000.0","2023-08-15","Patterned Learning AI","windows"
387860,"ERM Data Analyst","184000.0","2023-06-09","Get It Recruit - Information Technology","sql"
387860,"ERM Data Analyst","184000.0","2023-06-09","Get It Recruit - Information Technology","python"
387860,"ERM Data Analyst","184000.0","2023-06-09","Get It Recruit - Information Technology","r"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","sql"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","python"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","r"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","tableau"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","jira"
813346,"Senior Data Analyst, GTM (South Bay, CA or Remote)","181000.0","2023-05-27","Zoom Video Communications","zoom"
